text,language,text_length,tokens,extracted_features
కబటట తలగ భష మటలడవర శతవహన వశప రజల ఆగమననక మదగ కషణ గదవర నదల మధయ భభగల నవస ఉడ వర ఉటరన నరణయచవచచ,te,146,"['కబటట', 'తలగ', 'భష', 'మటలడవర', 'శతవహన', 'వశప', 'రజల', 'ఆగమననక', 'మదగ', 'కషణ', 'గదవర', 'నదల', 'మధయ', 'భభగల', 'నవస', 'ఉడ', 'వర', 'ఉటరన', 'నరణయచవచచ']","{'word_length': 3.736842105263158, 'sentence_length': 19.0, 'char_ngrams': 87, 'prefix_suffix_count': 32, 'unique_roots_count': 19}"
کے,ks,4,['کے'],"{'word_length': 2.0, 'sentence_length': 1.0, 'char_ngrams': 0, 'prefix_suffix_count': 0, 'unique_roots_count': 1}"
తలగల ఒక వకయ పరణవరమ త కన దరఘవరమత కన మగచబడతద,te,74,"['తలగల', 'ఒక', 'వకయ', 'పరణవరమ', 'త', 'కన', 'దరఘవరమత', 'కన', 'మగచబడతద']","{'word_length': 3.7777777777777777, 'sentence_length': 9.0, 'char_ngrams': 40, 'prefix_suffix_count': 10, 'unique_roots_count': 8}"
स,mr,1,['स'],"{'word_length': 1.0, 'sentence_length': 1.0, 'char_ngrams': 0, 'prefix_suffix_count': 0, 'unique_roots_count': 1}"
یێمؠسنز آبٲدی چھے ۱۳۵ ارب,ks,32,"['یێمؠسنز', 'آبٲدی', 'چھے', '۱۳۵', 'ارب']","{'word_length': 4.2, 'sentence_length': 5.0, 'char_ngrams': 23, 'prefix_suffix_count': 10, 'unique_roots_count': 5}"
কনত মগধ পৰকত সমপৰক বহ কইজন ভষবজঞন সহমতত উপনত হছ,as,70,"['কনত', 'মগধ', 'পৰকত', 'সমপৰক', 'বহ', 'কইজন', 'ভষবজঞন', 'সহমতত', 'উপনত', 'হছ']","{'word_length': 3.8, 'sentence_length': 10.0, 'char_ngrams': 45, 'prefix_suffix_count': 16, 'unique_roots_count': 10}"
तयच कळ शक ९८२इ,mr,22,"['तयच', 'कळ', 'शक', '९८२इ']","{'word_length': 2.75, 'sentence_length': 4.0, 'char_ngrams': 12, 'prefix_suffix_count': 4, 'unique_roots_count': 4}"
त वरगक पच अकषर त थ द ध न अरध न अननसक वरण दनतय उचचरण,ne,72,"['त', 'वरगक', 'पच', 'अकषर', 'त', 'थ', 'द', 'ध', 'न', 'अरध', 'न', 'अननसक', 'वरण', 'दनतय', 'उचचरण']","{'word_length': 2.466666666666667, 'sentence_length': 15.0, 'char_ngrams': 49, 'prefix_suffix_count': 14, 'unique_roots_count': 13}"
एतष करत अदयप जगत समललसत,sa,39,"['एतष', 'करत', 'अदयप', 'जगत', 'समललसत']","{'word_length': 3.8, 'sentence_length': 5.0, 'char_ngrams': 21, 'prefix_suffix_count': 10, 'unique_roots_count': 5}"
ப,ta,2,['ப'],"{'word_length': 1.0, 'sentence_length': 1.0, 'char_ngrams': 0, 'prefix_suffix_count': 0, 'unique_roots_count': 1}"
समतल नपल भष,ne,20,"['समतल', 'नपल', 'भष']","{'word_length': 3.0, 'sentence_length': 3.0, 'char_ngrams': 9, 'prefix_suffix_count': 4, 'unique_roots_count': 3}"
યકમ 200000 જટલ ગજરત બલનર લક છ તમન ઘણ લડન વસતરમ ખસ કરન ઉતતર પશચમ લડનમ સથત છ અન એ ઉપરત બરમગહમ મનચસટર અન લસસટર કવનટર બરડફરડ અન લનકશયરમ આવલ ભતપરવ મલન શહરમ પણ છ,gu,244,"['યકમ', '200000', 'જટલ', 'ગજરત', 'બલનર', 'લક', 'છ', 'તમન', 'ઘણ', 'લડન', 'વસતરમ', 'ખસ', 'કરન', 'ઉતતર', 'પશચમ', 'લડનમ', 'સથત', 'છ', 'અન', 'એ', 'ઉપરત', 'બરમગહમ', 'મનચસટર', 'અન', 'લસસટર', 'કવનટર', 'બરડફરડ', 'અન', 'લનકશયરમ', 'આવલ', 'ભતપરવ', 'મલન', 'શહરમ', 'પણ', 'છ']","{'word_length': 3.4571428571428573, 'sentence_length': 35.0, 'char_ngrams': 153, 'prefix_suffix_count': 48, 'unique_roots_count': 31}"
हनद म ण क उचचरण कभकभ ड क तरह हत ह यन क जभ मह क छत क एक जरदर ठकर मरत ह,hi,102,"['हनद', 'म', 'ण', 'क', 'उचचरण', 'कभकभ', 'ड', 'क', 'तरह', 'हत', 'ह', 'यन', 'क', 'जभ', 'मह', 'क', 'छत', 'क', 'एक', 'जरदर', 'ठकर', 'मरत', 'ह']","{'word_length': 2.0434782608695654, 'sentence_length': 23.0, 'char_ngrams': 67, 'prefix_suffix_count': 14, 'unique_roots_count': 18}"
এই আনদলন পকসতন সরকরর নকট বল ভষর সরকর সবকত দব কর হয,bn,76,"['এই', 'আনদলন', 'পকসতন', 'সরকরর', 'নকট', 'বল', 'ভষর', 'সরকর', 'সবকত', 'দব', 'কর', 'হয']","{'word_length': 3.25, 'sentence_length': 12.0, 'char_ngrams': 48, 'prefix_suffix_count': 14, 'unique_roots_count': 12}"
মন রখত হব য এই কলসম অতযনত আনমনক,bn,45,"['মন', 'রখত', 'হব', 'য', 'এই', 'কলসম', 'অতযনত', 'আনমনক']","{'word_length': 3.0, 'sentence_length': 8.0, 'char_ngrams': 29, 'prefix_suffix_count': 8, 'unique_roots_count': 8}"
norse influence was strongest in the northeastern varieties of old english spoken in the danelaw area around york which was the centre of norse colonisation today these features are still particularly present in scots and northern english,en,242,"['norse', 'influence', 'was', 'strongest', 'in', 'the', 'northeastern', 'varieties', 'of', 'old', 'english', 'spoken', 'in', 'the', 'danelaw', 'area', 'around', 'york', 'which', 'was', 'the', 'centre', 'of', 'norse', 'colonisation', 'today', 'these', 'features', 'are', 'still', 'particularly', 'present', 'in', 'scots', 'and', 'northern', 'english']","{'word_length': 5.45945945945946, 'sentence_length': 37.0, 'char_ngrams': 236, 'prefix_suffix_count': 64, 'unique_roots_count': 29}"
सङघयऽथ च रजययष सरवकरष करयकरण वधयक नययपलक च शख वरतत,sa,82,"['सङघयऽथ', 'च', 'रजययष', 'सरवकरष', 'करयकरण', 'वधयक', 'नययपलक', 'च', 'शख', 'वरतत']","{'word_length': 4.1, 'sentence_length': 10.0, 'char_ngrams': 48, 'prefix_suffix_count': 14, 'unique_roots_count': 9}"
અમરકમ મસચસટસ બ કલન અમરકન તર કલનઓમ સરવપરથમ એન કલન હત જણ બકનટ ચલણમ મકવન સહસ કરય હત,gu,127,"['અમરકમ', 'મસચસટસ', 'બ', 'કલન', 'અમરકન', 'તર', 'કલનઓમ', 'સરવપરથમ', 'એન', 'કલન', 'હત', 'જણ', 'બકનટ', 'ચલણમ', 'મકવન', 'સહસ', 'કરય', 'હત']","{'word_length': 3.5, 'sentence_length': 18.0, 'char_ngrams': 78, 'prefix_suffix_count': 24, 'unique_roots_count': 15}"
रषटरपत महतमगनध अहसमरगणव सवतनतरय परपयत,sa,65,"['रषटरपत', 'महतमगनध', 'अहसमरगणव', 'सवतनतरय', 'परपयत']","{'word_length': 6.6, 'sentence_length': 5.0, 'char_ngrams': 35, 'prefix_suffix_count': 10, 'unique_roots_count': 5}"
تاہم یہ معاشی و سیاسی لحاظ سے ایک دوسرے سے مختلف ہیں,ur,54,"['تاہم', 'یہ', 'معاشی', 'و', 'سیاسی', 'لحاظ', 'سے', 'ایک', 'دوسرے', 'سے', 'مختلف', 'ہیں']","{'word_length': 3.4166666666666665, 'sentence_length': 12.0, 'char_ngrams': 50, 'prefix_suffix_count': 16, 'unique_roots_count': 11}"
ଏଭଳ ପରସଥତର ଆଶ କରଯଏ ଯ ଯତବଳ ଦଳ 10 ସପଟମବରର ସରଜର ଶଷ ମୟଚ ଖଳବ ସତବଳ ଏହ ମରଡ ଏକ ବଜୟ ସହତ ଶଷ ହବ,or,126,"['ଏଭଳ', 'ପରସଥତର', 'ଆଶ', 'କରଯଏ', 'ଯ', 'ଯତବଳ', 'ଦଳ', '10', 'ସପଟମବରର', 'ସରଜର', 'ଶଷ', 'ମୟଚ', 'ଖଳବ', 'ସତବଳ', 'ଏହ', 'ମରଡ', 'ଏକ', 'ବଜୟ', 'ସହତ', 'ଶଷ', 'ହବ']","{'word_length': 3.0476190476190474, 'sentence_length': 21.0, 'char_ngrams': 82, 'prefix_suffix_count': 24, 'unique_roots_count': 19}"
हद आन करसतव लकमध ओतर वडल आन आन थडय वळत तयच उलवच रत सइत बदलल,kok,99,"['हद', 'आन', 'करसतव', 'लकमध', 'ओतर', 'वडल', 'आन', 'आन', 'थडय', 'वळत', 'तयच', 'उलवच', 'रत', 'सइत', 'बदलल']","{'word_length': 3.0, 'sentence_length': 15.0, 'char_ngrams': 57, 'prefix_suffix_count': 20, 'unique_roots_count': 13}"
বল ভষর ইতহসক সধরণত তন ভগ ভগ কর হয পরচন বল ৯০০১০০০ ১৪০০ খরসটবদ চরযপদ ভকতমলক গন এই সমযকর লখত নদরশন,bn,145,"['বল', 'ভষর', 'ইতহসক', 'সধরণত', 'তন', 'ভগ', 'ভগ', 'কর', 'হয', 'পরচন', 'বল', '৯০০১০০০', '১৪০০', 'খরসটবদ', 'চরযপদ', 'ভকতমলক', 'গন', 'এই', 'সমযকর', 'লখত', 'নদরশন']","{'word_length': 3.619047619047619, 'sentence_length': 21.0, 'char_ngrams': 94, 'prefix_suffix_count': 24, 'unique_roots_count': 19}"
ആദദരവഡ ഭഷയൽ നനന പരണമചച വനനതക മലയള,ml,53,"['ആദദരവഡ', 'ഭഷയൽ', 'നനന', 'പരണമചച', 'വനനതക', 'മലയള']","{'word_length': 4.666666666666667, 'sentence_length': 6.0, 'char_ngrams': 31, 'prefix_suffix_count': 12, 'unique_roots_count': 6}"
درحقیقت ماہرین لسانیات ان دونوں زبانوں کو ایک ہی زبان کے حصے سمجھتے ہیں,ur,76,"['درحقیقت', 'ماہرین', 'لسانیات', 'ان', 'دونوں', 'زبانوں', 'کو', 'ایک', 'ہی', 'زبان', 'کے', 'حصے', 'سمجھتے', 'ہیں']","{'word_length': 4.142857142857143, 'sentence_length': 14.0, 'char_ngrams': 69, 'prefix_suffix_count': 20, 'unique_roots_count': 14}"
تاہم دیگر ماہرین ان دونوں کو معاش اللسانی تفرقات کی بنیاد پر الگ الگ سمجھتے ہیں,ur,83,"['تاہم', 'دیگر', 'ماہرین', 'ان', 'دونوں', 'کو', 'معاش', 'اللسانی', 'تفرقات', 'کی', 'بنیاد', 'پر', 'الگ', 'الگ', 'سمجھتے', 'ہیں']","{'word_length': 4.0, 'sentence_length': 16.0, 'char_ngrams': 77, 'prefix_suffix_count': 24, 'unique_roots_count': 15}"
ಈ ಎಫ ಪಒಗಳ ಮಲಕ ಫಲಪ ಕರಟ ಮತತ ರತರ ನಡವ ತಡರಹತವದ ವಯವಹರ ಸಲಭಯ ವಯವಸಥಯನನ ನರಮಣ ಮಡಲ ಫಲಪ ಕರಟ ಒತತ ನಡತತದ,kn,133,"['ಈ', 'ಎಫ', 'ಪಒಗಳ', 'ಮಲಕ', 'ಫಲಪ', 'ಕರಟ', 'ಮತತ', 'ರತರ', 'ನಡವ', 'ತಡರಹತವದ', 'ವಯವಹರ', 'ಸಲಭಯ', 'ವಯವಸಥಯನನ', 'ನರಮಣ', 'ಮಡಲ', 'ಫಲಪ', 'ಕರಟ', 'ಒತತ', 'ನಡತತದ']","{'word_length': 3.6842105263157894, 'sentence_length': 19.0, 'char_ngrams': 86, 'prefix_suffix_count': 34, 'unique_roots_count': 17}"
યકમ વદયરથઓ મટ જ,gu,28,"['યકમ', 'વદયરથઓ', 'મટ', 'જ']","{'word_length': 3.0, 'sentence_length': 4.0, 'char_ngrams': 13, 'prefix_suffix_count': 4, 'unique_roots_count': 4}"
نہرو اوس ۱۹۲۹۱۹۳۰ تہ ۱۹۳۶۱۹۳۷ ہندوستٲنؠ قومی کانگریس سند صدر تہ کر ہندوستٲنؠ جنگہ آزادی منز انگریزی حۆکومتھ خلاف مہاتما گاندھی ستؠ تحریک,ks,168,"['نہرو', 'اوس', '۱۹۲۹۱۹۳۰', 'تہ', '۱۹۳۶۱۹۳۷', 'ہندوستٲنؠ', 'قومی', 'کانگریس', 'سند', 'صدر', 'تہ', 'کر', 'ہندوستٲنؠ', 'جنگہ', 'آزادی', 'منز', 'انگریزی', 'حۆکومتھ', 'خلاف', 'مہاتما', 'گاندھی', 'ستؠ', 'تحریک']","{'word_length': 4.956521739130435, 'sentence_length': 23.0, 'char_ngrams': 134, 'prefix_suffix_count': 40, 'unique_roots_count': 21}"
ಇದಗ ಶಹನ ಚಡಮರತ ಅಪಪಳಸಲ ಸದಧವಗದ,kn,43,"['ಇದಗ', 'ಶಹನ', 'ಚಡಮರತ', 'ಅಪಪಳಸಲ', 'ಸದಧವಗದ']","{'word_length': 4.6, 'sentence_length': 5.0, 'char_ngrams': 25, 'prefix_suffix_count': 10, 'unique_roots_count': 5}"
தமழநடடல பல இயறக வளஙகள தமழர கடடடக கல சறறம கவலகள மலததலஙகள கடலர ஓயவடஙகள பல சமயததனரன வழபடடத தலஙகள நறநதளளன எடட உலக பரமபரயக களஙகள தமழநடடல உளளன,ta,206,"['தமழநடடல', 'பல', 'இயறக', 'வளஙகள', 'தமழர', 'கடடடக', 'கல', 'சறறம', 'கவலகள', 'மலததலஙகள', 'கடலர', 'ஓயவடஙகள', 'பல', 'சமயததனரன', 'வழபடடத', 'தலஙகள', 'நறநதளளன', 'எடட', 'உலக', 'பரமபரயக', 'களஙகள', 'தமழநடடல', 'உளளன']","{'word_length': 4.956521739130435, 'sentence_length': 23.0, 'char_ngrams': 134, 'prefix_suffix_count': 40, 'unique_roots_count': 20}"
இறதப பலலவ மனனன அபரசதன ஆவன,ta,37,"['இறதப', 'பலலவ', 'மனனன', 'அபரசதன', 'ஆவன']","{'word_length': 4.2, 'sentence_length': 5.0, 'char_ngrams': 23, 'prefix_suffix_count': 10, 'unique_roots_count': 5}"
இதன ஆடசபபகத எலலகளக மறகலம வடககலம கரள கரநடகம மறறம ஆநதர மநலஙகள உளளன,ta,100,"['இதன', 'ஆடசபபகத', 'எலலகளக', 'மறகலம', 'வடககலம', 'கரள', 'கரநடகம', 'மறறம', 'ஆநதர', 'மநலஙகள', 'உளளன']","{'word_length': 4.909090909090909, 'sentence_length': 11.0, 'char_ngrams': 62, 'prefix_suffix_count': 22, 'unique_roots_count': 11}"
க,ta,3,['க'],"{'word_length': 1.0, 'sentence_length': 1.0, 'char_ngrams': 0, 'prefix_suffix_count': 0, 'unique_roots_count': 1}"
परतगज आयलय उपरत ककणत सबर बदल जल,kok,48,"['परतगज', 'आयलय', 'उपरत', 'ककणत', 'सबर', 'बदल', 'जल']","{'word_length': 3.5714285714285716, 'sentence_length': 7.0, 'char_ngrams': 29, 'prefix_suffix_count': 12, 'unique_roots_count': 7}"
ಬಗಳಕಲಲಯಲಲ ಉಟಗರವ ವಯಭರ ಕಸತದದ ರಜಯದಲಲ ಇನನ 4 ದನ ಮಳಯಗವ ಸಧಯತಯದ,kn,89,"['ಬಗಳಕಲಲಯಲಲ', 'ಉಟಗರವ', 'ವಯಭರ', 'ಕಸತದದ', 'ರಜಯದಲಲ', 'ಇನನ', '4', 'ದನ', 'ಮಳಯಗವ', 'ಸಧಯತಯದ']","{'word_length': 4.6, 'sentence_length': 10.0, 'char_ngrams': 53, 'prefix_suffix_count': 16, 'unique_roots_count': 10}"
ଓଡଆ ଭଷ ଓଡଶର ପଖପଖ ଅନକ ରଜୟର କହଯଏ,or,50,"['ଓଡଆ', 'ଭଷ', 'ଓଡଶର', 'ପଖପଖ', 'ଅନକ', 'ରଜୟର', 'କହଯଏ']","{'word_length': 3.4285714285714284, 'sentence_length': 7.0, 'char_ngrams': 28, 'prefix_suffix_count': 12, 'unique_roots_count': 7}"
भरत मन न नटयशसतर म उन शबद क दश कह ह ज ससकत क ततसम एव सदभव रप स भनन ह,hi,103,"['भरत', 'मन', 'न', 'नटयशसतर', 'म', 'उन', 'शबद', 'क', 'दश', 'कह', 'ह', 'ज', 'ससकत', 'क', 'ततसम', 'एव', 'सदभव', 'रप', 'स', 'भनन', 'ह']","{'word_length': 2.2857142857142856, 'sentence_length': 21.0, 'char_ngrams': 66, 'prefix_suffix_count': 14, 'unique_roots_count': 19}"
পকসতনর করচ শহরর দবতয সরকর ভষ রপ বলক গরহণ কর হযছ,bn,75,"['পকসতনর', 'করচ', 'শহরর', 'দবতয', 'সরকর', 'ভষ', 'রপ', 'বলক', 'গরহণ', 'কর', 'হযছ']","{'word_length': 3.3636363636363638, 'sentence_length': 11.0, 'char_ngrams': 45, 'prefix_suffix_count': 16, 'unique_roots_count': 11}"
মতভষর সখযয বল ইনদইউরপয ভষ পরবরর পঞচম৯ ও মট বযবহরকরর সখয অনসর বল বশবর ষষঠ বহততম ভষ,bn,129,"['মতভষর', 'সখযয', 'বল', 'ইনদইউরপয', 'ভষ', 'পরবরর', 'পঞচম৯', 'ও', 'মট', 'বযবহরকরর', 'সখয', 'অনসর', 'বল', 'বশবর', 'ষষঠ', 'বহততম', 'ভষ']","{'word_length': 3.823529411764706, 'sentence_length': 17.0, 'char_ngrams': 79, 'prefix_suffix_count': 22, 'unique_roots_count': 15}"
य न पछ गएर सनध घटक सभयतम वकसत भय जन २६०० ईप र १९०० ईपक बचम वकसत अवसथम थय,ne,107,"['य', 'न', 'पछ', 'गएर', 'सनध', 'घटक', 'सभयतम', 'वकसत', 'भय', 'जन', '२६००', 'ईप', 'र', '१९००', 'ईपक', 'बचम', 'वकसत', 'अवसथम', 'थय']","{'word_length': 2.8421052631578947, 'sentence_length': 19.0, 'char_ngrams': 70, 'prefix_suffix_count': 22, 'unique_roots_count': 18}"
ଜଳ ସମପଦ ସମ ବବଦ ଶକତ ସହ ନକସଲ ପରସଙଗର ଆଲଚନ ହଇ ମତର କଇ ମନଟ ମଧୟର ଏହ ଆଲଚନ ଶଷ ହଇଛ,or,104,"['ଜଳ', 'ସମପଦ', 'ସମ', 'ବବଦ', 'ଶକତ', 'ସହ', 'ନକସଲ', 'ପରସଙଗର', 'ଆଲଚନ', 'ହଇ', 'ମତର', 'କଇ', 'ମନଟ', 'ମଧୟର', 'ଏହ', 'ଆଲଚନ', 'ଶଷ', 'ହଇଛ']","{'word_length': 3.0555555555555554, 'sentence_length': 18.0, 'char_ngrams': 70, 'prefix_suffix_count': 22, 'unique_roots_count': 17}"
रज कसदवरयचय करकरदत करलल अकष शललख ह आजवर सपडलल मरठ भषतल परणतम शललख आह सदरभ हव,mr,114,"['रज', 'कसदवरयचय', 'करकरदत', 'करलल', 'अकष', 'शललख', 'ह', 'आजवर', 'सपडलल', 'मरठ', 'भषतल', 'परणतम', 'शललख', 'आह', 'सदरभ', 'हव']","{'word_length': 3.8125, 'sentence_length': 16.0, 'char_ngrams': 74, 'prefix_suffix_count': 24, 'unique_roots_count': 15}"
১৯৮৭ সলর বল ভষ পরচলন আইন বলদশর সকল রষটরয কজ বলর বযবহর বধযতমলক কর হযছ,bn,102,"['১৯৮৭', 'সলর', 'বল', 'ভষ', 'পরচলন', 'আইন', 'বলদশর', 'সকল', 'রষটরয', 'কজ', 'বলর', 'বযবহর', 'বধযতমলক', 'কর', 'হযছ']","{'word_length': 3.6, 'sentence_length': 15.0, 'char_ngrams': 66, 'prefix_suffix_count': 22, 'unique_roots_count': 15}"
ਪਜਬ ਦ ਕਈ ਰਪ ਹਨ ਜਵ ਕ ਪਛਮ ਪਜਬ ਵਚ ਲਹਦ ਅਤ ਪਰਬ ਪਜਬ ਵਚ ਸਰਇਕ ਹਦਕ ਮਝ ਪਠਹਰ ਪਰ ਇਹ ਪਜਬ ਦ ਸਹਮਣ ਨਗਣ ਜਹ ਹ ਹਨ,pa,148,"['ਪਜਬ', 'ਦ', 'ਕਈ', 'ਰਪ', 'ਹਨ', 'ਜਵ', 'ਕ', 'ਪਛਮ', 'ਪਜਬ', 'ਵਚ', 'ਲਹਦ', 'ਅਤ', 'ਪਰਬ', 'ਪਜਬ', 'ਵਚ', 'ਸਰਇਕ', 'ਹਦਕ', 'ਮਝ', 'ਪਠਹਰ', 'ਪਰ', 'ਇਹ', 'ਪਜਬ', 'ਦ', 'ਸਹਮਣ', 'ਨਗਣ', 'ਜਹ', 'ਹ', 'ਹਨ']","{'word_length': 2.392857142857143, 'sentence_length': 28.0, 'char_ngrams': 92, 'prefix_suffix_count': 24, 'unique_roots_count': 22}"
તયરબદ વરષ ૧૮૧૬મ અમરકન કગરસ દશન બજ મધયસથ બકન બકનટ બહર પડવન સતત આપ જ કમ તમણ ૧૮૪૧ સધ ચલ રખય,gu,137,"['તયરબદ', 'વરષ', '૧૮૧૬મ', 'અમરકન', 'કગરસ', 'દશન', 'બજ', 'મધયસથ', 'બકન', 'બકનટ', 'બહર', 'પડવન', 'સતત', 'આપ', 'જ', 'કમ', 'તમણ', '૧૮૪૧', 'સધ', 'ચલ', 'રખય']","{'word_length': 3.238095238095238, 'sentence_length': 21.0, 'char_ngrams': 86, 'prefix_suffix_count': 30, 'unique_roots_count': 21}"
اسلام چھہ اکھہ توحیدؠ تہ ابراہیمؠ مزہب,ks,48,"['اسلام', 'چھہ', 'اکھہ', 'توحیدؠ', 'تہ', 'ابراہیمؠ', 'مزہب']","{'word_length': 4.571428571428571, 'sentence_length': 7.0, 'char_ngrams': 36, 'prefix_suffix_count': 12, 'unique_roots_count': 7}"
